date,tmed,prec,tmin,tmax,dir,velmedia,racha,hrmedia,hrmax,hrmin,cloudcover__max,cloudcover__min,cloudcover__mean,surface_pressure_hpa_max,surface_pressure_hpa_min,surface_pressure_hpa_mean,dewpoint_2m_c_max,dewpoint_2m_c_min,dewpoint_2m_c_mean,estacion_invierno,estacion_otoo,estacion_primavera,estacion_verano
2010-01-01,12.0,0.0,9.7,14.3,28.0,4.2,14.7,46.0,60.0,41.0,98,0,42.8,1004.1,988.5,994.9,4.1,-1.3,1.0,1,0,0,0
2010-01-02,9.8,0.0,7.8,11.7,28.0,1.1,7.8,66.0,80.0,53.0,100,1,48.6,1017.2,1004.8,1011.1,5.9,2.6,3.8,1,0,0,0
2010-01-03,10.8,0.0,8.4,13.2,12.0,0.8,5.0,76.0,89.0,66.0,100,80,96.0,1017.3,1008.0,1012.8,8.8,4.7,6.8,1,0,0,0
2010-01-04,10.5,0.0,9.6,11.4,10.0,1.1,5.3,87.0,98.0,73.0,100,99,99.9,1007.9,1000.3,1005.2,8.2,6.3,7.1,1,0,0,0
2010-01-05,10.4,0.0,9.2,11.7,5.0,0.8,4.7,90.0,98.0,79.0,100,86,96.9,999.6,993.6,995.4,7.9,6.7,7.3,1,0,0,0
2010-01-06,8.8,0.0,6.2,11.4,24.0,1.1,5.8,53.0,97.0,44.0,100,5,49.8,1001.4,996.5,998.5,7.3,-1.2,1.1,1,0,0,0
2010-01-07,6.8,0.0,5.4,8.2,7.0,3.1,12.8,78.0,89.0,59.0,100,19,88.2,1001.3,990.0,996.3,4.7,1.2,3.0,1,0,0,0
2010-01-08,7.0,0.0,5.4,8.7,5.0,1.9,10.0,73.0,91.0,55.0,100,84,98.4,996.8,987.8,991.4,1.5,-3.8,0.1,1,0,0,0
2010-01-09,5.2,0.0,2.6,7.8,28.0,1.1,8.3,45.0,55.0,38.0,100,2,63.4,1004.5,996.4,998.8,-4.3,-7.4,-5.9,1,0,0,0
2010-01-10,4.5,0.0,1.3,7.7,29.0,1.4,10.8,55.0,64.0,45.0,100,0,38.1,1010.0,1005.1,1008.1,-1.5,-7.3,-4.8,1,0,0,0
2010-01-11,6.1,0.0,4.1,8.1,2.0,0.8,5.3,57.0,72.0,50.0,100,0,69.7,1013.2,1008.2,1010.4,0.7,-2.5,-1.4,1,0,0,0
2010-01-12,6.4,0.0,3.4,9.4,25.0,1.4,5.3,71.0,97.0,58.0,100,3,82.0,1013.5,998.9,1007.6,6.0,-0.6,1.9,1,0,0,0
2010-01-13,10.8,0.0,7.0,14.6,1.0,0.6,7.2,64.0,86.0,47.0,100,1,47.8,1006.7,998.1,1003.3,7.7,2.5,4.4,1,0,0,0
2010-01-14,12.0,0.0,8.7,15.4,28.0,1.4,10.6,77.0,99.0,59.0,100,18,73.8,1002.5,988.7,994.0,10.4,4.0,7.5,1,0,0,0
2010-01-15,12.8,0.0,9.1,16.6,27.0,0.8,5.8,60.0,80.0,41.0,96,0,32.8,1018.1,1001.4,1011.9,6.9,3.5,5.0,1,0,0,0
2010-01-16,11.5,0.0,8.2,14.7,99.0,0.6,4.3,64.7,80.6,50.7,100,61,94.8,1018.7,1013.4,1015.6,9.0,5.0,6.9,1,0,0,0
2010-01-17,11.3,0.0,10.2,12.4,5.0,0.3,2.8,93.0,98.0,85.0,100,99,99.8,1019.8,1015.1,1017.6,9.9,7.3,8.7,1,0,0,0
2010-01-18,11.5,0.0,8.2,14.7,99.0,0.6,3.0,64.7,80.6,50.7,100,91,98.8,1019.9,1016.8,1018.6,9.6,6.0,8.0,1,0,0,0
2010-01-19,10.4,0.0,9.5,11.3,99.0,0.8,3.1,99.0,100.0,96.0,100,60,94.0,1018.0,1011.2,1014.8,10.6,6.7,8.6,1,0,0,0
2010-01-20,11.5,0.0,8.2,14.7,99.0,1.4,4.4,64.7,80.6,50.7,100,20,62.1,1013.9,1009.7,1011.1,9.2,7.1,8.1,1,0,0,0
2010-01-21,11.4,0.0,7.7,15.1,24.0,1.9,5.8,69.0,95.0,48.0,100,48,84.6,1017.5,1013.9,1015.6,9.3,6.2,7.2,1,0,0,0
2010-01-22,11.0,0.0,8.3,13.8,10.0,1.1,4.7,72.0,85.0,58.0,83,0,28.3,1016.9,1013.9,1015.4,7.0,4.2,5.5,1,0,0,0
2010-01-23,10.6,0.0,8.5,12.8,99.0,1.1,4.7,79.0,87.0,73.0,100,65,94.8,1016.8,1014.5,1015.8,7.1,5.1,6.1,1,0,0,0
