fecha     ; indicativo; nombre                 ; provincia; altitud; tmed; prec; tmin; horatmin; tmax; horatmax; dir; velmedia; racha; horaracha; hrMedia; hrMax; horaHrMax; hrMin; horaHrMin
2025-01-01; 0201D     ; BARCELONA, PORT OLÍMPIC; BARCELONA;      26; 10,8; 0,0 ; 6,9 ; 08:00   ; 14,6; 13:00   ;  35; 1,7     ; 6,1  ; 09:10    ;      86;    92; Varias   ;    78; 11:40
2025-01-02; 0201D     ; BARCELONA, PORT OLÍMPIC; BARCELONA;      26; 11,2; 0,0 ; 7,3 ; 02:00   ; 15,2; 13:40   ;  30; 4,2     ; 10,8 ; 18:40    ;      62;    90; 00:00    ;    52; Varias
2025-01-03; 0201D     ; BARCELONA, PORT OLÍMPIC; BARCELONA;      26; 11,0; 0,0 ; 6,9 ; 00:50   ; 15,2; 14:30   ;  28; 3,1     ; 13,3 ; 08:40    ;      66;    82; 23:59    ;    52; 14:30
2025-01-04; 0201D     ; BARCELONA, PORT OLÍMPIC; BARCELONA;      26; 13,2; 0,0 ; 9,9 ; 03:30   ; 16,5; 13:20   ;  35; 1,7     ; 7,8  ; 00:20    ;      83;    92; Varias   ;    68; 13:20
2025-01-05; 0201D     ; BARCELONA, PORT OLÍMPIC; BARCELONA;      26; 13,0; 0,0 ; 10,4; 02:00   ; 15,5; 11:50   ;  26; 3,9     ; 8,9  ; 15:10    ;      76;    91; 20:10    ;    58; 11:50
2025-01-06; 0201D     ; BARCELONA, PORT OLÍMPIC; BARCELONA;      26; 14,5; 0,5 ; 11,3; 00:20   ; 17,7; 13:00   ;  11; 2,8     ; 9,2  ; 20:50    ;      70;    93; Varias   ;    62; 12:50
2025-01-07; 0201D     ; BARCELONA, PORT OLÍMPIC; BARCELONA;      26; 11,5; 0,0 ; 8,3 ; 07:30   ; 14,7; 15:00   ;  29; 3,3     ; 11,7 ; 13:20    ;      56;    77; Varias   ;    46; 15:10
2025-01-08; 0201D     ; BARCELONA, PORT OLÍMPIC; BARCELONA;      26; 15,0; 0,0 ; 11,9; 04:30   ; 18,1; 12:50   ;  28; 4,2     ; 11,7 ; 08:50    ;      73;    85; 18:00    ;    48; 23:59
2025-01-09; 0201D     ; BARCELONA, PORT OLÍMPIC; BARCELONA;      26; 16,0; 0,0 ; 13,0; 23:59   ; 19,1; 14:50   ;  32; 4,2     ; 17,5 ; 12:30    ;      56;    70; 23:59    ;    47; 14:00
2025-01-10; 0201D     ; BARCELONA, PORT OLÍMPIC; BARCELONA;      26; 15,2; 0,0 ; 10,9; 07:30   ; 19,4; 15:00   ;  29; 2,2     ; 9,2  ; 14:20    ;      76;    89; 07:10    ;    58; 14:30
2025-01-11; 0201D     ; BARCELONA, PORT OLÍMPIC; BARCELONA;      26; 16,0; 0,0 ; 13,3; Varias  ; 18,6; 13:10   ;  08; 2,5     ; 11,7 ; 19:50    ;      74;    90; 21:40    ;    38; 19:00
2025-01-12; 0201D     ; BARCELONA, PORT OLÍMPIC; BARCELONA;      26; 10,6; 0,0 ; 6,3 ; 23:59   ; 15,0; 10:50   ;  99; 5,8     ; 13,3 ; 14:50    ;      45;    66; 00:00    ;    30; 10:40
2025-01-13; 0201D     ; BARCELONA, PORT OLÍMPIC; BARCELONA;      26; 8,4 ; 0,0 ; 4,9 ; 06:20   ; 11,8; 15:10   ;  36; 1,7     ; 5,8  ; 08:40    ;      53;    68; 22:40    ;    44; 10:20
