date,temperature_2m (°C)_max,temperature_2m (°C)_min,temperature_2m (°C)_mean,precipitation (mm)_max,precipitation (mm)_min,precipitation (mm)_mean,cloudcover (%)_max,cloudcover (%)_min,cloudcover (%)_mean,surface_pressure (hPa)_max,surface_pressure (hPa)_min,surface_pressure (hPa)_mean,wind_speed_10m (km/h)_max,wind_speed_10m (km/h)_min,wind_speed_10m (km/h)_mean,dewpoint_2m (°C)_max,dewpoint_2m (°C)_min,dewpoint_2m (°C)_mean
1990-01-01,12.1,6.4,9.129166666666666,0.0,0.0,0.0,78.0,1.0,27.08333333333333,1014.7,1012.6,1013.7541666666666,10.6,3.3,6.629166666666666,7.9,5.6,6.854166666666667
1990-01-02,12.8,6.8,9.5875,0.0,0.0,0.0,99.0,0.0,26.125,1016.1,1012.6,1014.1791666666668,10.4,2.2,7.1625000000000005,8.2,6.4,7.35
1990-01-03,12.5,6.9,10.033333333333331,0.2,0.0,0.0208333333333333,100.0,82.0,98.625,1012.2,1007.4,1009.3125,15.2,3.3,6.9375,9.5,6.7,8.424999999999999
1990-01-04,12.2,9.5,11.170833333333334,0.8,0.0,0.1541666666666666,100.0,1.0,52.91666666666666,1020.7,1009.4,1014.6958333333332,26.8,10.8,20.004166666666663,10.2,5.7,7.825
1990-01-05,12.3,8.4,10.133333333333333,0.0,0.0,0.0,90.0,1.0,33.5,1023.6,1020.9,1021.7833333333332,11.2,1.1,6.995833333333334,7.5,5.8,6.191666666666666
1990-01-06,12.2,7.3,9.241666666666664,0.0,0.0,0.0,86.0,3.0,32.291666666666664,1022.4,1019.5,1021.0166666666668,13.4,6.8,9.225,7.4,4.4,5.820833333333333
1990-01-07,11.1,6.4,8.85,0.7,0.0,0.1374999999999999,100.0,25.0,86.375,1025.2,1020.7,1022.3916666666668,22.0,6.0,10.995833333333332,8.5,5.4,6.666666666666667
1990-01-08,11.4,9.0,10.0,0.4,0.0,0.025,100.0,19.0,63.833333333333336,1029.8,1025.6,1027.775,24.2,7.0,15.525,8.4,4.5,5.8875
1990-01-09,10.3,7.0,8.420833333333333,1.7,0.0,0.3,100.0,18.0,67.83333333333333,1029.7,1027.6,1028.7791666666667,11.9,6.0,8.670833333333333,7.3,4.7,6.254166666666666
1990-01-10,10.7,5.6,8.020833333333334,0.0,0.0,0.0,100.0,6.0,62.25,1028.1,1024.1,1025.8541666666667,12.3,2.4,8.170833333333333,6.1,2.7,4.05
1990-01-11,12.4,8.9,10.479166666666666,0.0,0.0,0.0,94.0,10.0,42.5,1025.7,1023.6,1024.4833333333331,17.3,10.1,13.7875,7.7,6.1,6.8125
1990-01-12,12.3,9.9,10.895833333333334,0.5,0.0,0.0666666666666666,100.0,30.0,81.66666666666667,1024.5,1022.6,1023.35,22.9,13.6,16.995833333333334,8.7,7.3,8.079166666666667
