date,temperature_2m (°C)_max,temperature_2m (°C)_min,temperature_2m (°C)_mean,precipitation (mm)_max,precipitation (mm)_min,precipitation (mm)_mean,cloudcover (%)_max,cloudcover (%)_min,cloudcover (%)_mean,surface_pressure (hPa)_max,surface_pressure (hPa)_min,surface_pressure (hPa)_mean,wind_speed_10m (km/h)_max,wind_speed_10m (km/h)_min,wind_speed_10m (km/h)_mean,dewpoint_2m (°C)_max,dewpoint_2m (°C)_min,dewpoint_2m (°C)_mean,fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin
2024-01-01,13.8,4.3,7.9125,0.0,0.0,0.0,100,0,61.125,1016.2,1012.3,1013.7458333333334,8.2,1.8,5.829166666666667,6.4,2.4,4.133333333333334,2024-01-01,0201D,"BARCELONA, PORT OLÍMPIC",BARCELONA,26.0,"11,6","0,0","8,6",06:00,"14,6",13:40,36.0,"1,9","4,2",06:20,82.0,90.0,16:50,69.0,12:30
2024-01-02,16.9,3.1,9.716666666666669,0.2,0.0,0.0083333333333333,100,0,86.625,1015.7,1010.1,1012.6083333333332,16.6,4.7,10.504166666666666,4.2,-2.0,0.8708333333333332,2024-01-02,0201D,"BARCELONA, PORT OLÍMPIC",BARCELONA,26.0,"11,8","0,0","8,1",01:50,"15,4",12:20,26.0,"2,8","7,5",11:20,53.0,81.0,00:30,39.0,16:10
2024-01-03,20.7,10.9,14.75,0.0,0.0,0.0,100,88,97.91666666666669,1011.8,1007.4,1009.4333333333334,16.2,4.0,10.758333333333333,9.7,4.1,8.041666666666666,2024-01-03,0201D,"BARCELONA, PORT OLÍMPIC",BARCELONA,26.0,"16,0","0,0","13,6",00:30,"18,4",12:30,27.0,"1,4","9,7",11:50,74.0,86.0,19:50,62.0,00:00
2024-01-04,16.3,6.0,11.208333333333334,0.1,0.0,0.0041666666666666,100,5,84.20833333333333,1012.7,1004.2,1009.6625,9.0,3.4,5.695833333333333,12.6,5.6,8.945833333333335,2024-01-04,0201D,"BARCELONA, PORT OLÍMPIC",BARCELONA,26.0,"14,2","0,3","11,0",07:00,"17,4",13:30,26.0,"1,4","4,7",19:00,89.0,94.0,18:10,79.0,00:00
2024-01-05,15.8,8.5,10.85,3.7,0.0,0.7916666666666666,100,22,91.25,1003.9,996.3,999.0916666666668,13.6,1.0,6.05,9.4,6.4,7.975,2024-01-05,0201D,"BARCELONA, PORT OLÍMPIC",BARCELONA,26.0,"11,2","8,4","8,9",21:50,"13,5",13:50,30.0,"2,2","6,9",23:30,89.0,94.0,Varias,78.0,13:30
2024-01-06,15.1,7.4,10.254166666666666,0.8,0.0,0.05,100,0,38.5,1006.3,999.8,1002.4541666666664,29.3,5.9,19.0875,6.6,-5.2,0.0458333333333332,2024-01-06,0201D,"BARCELONA, PORT OLÍMPIC",BARCELONA,26.0,"11,2","0,0","7,3",07:30,"15,2",13:50,34.0,"2,5","11,1",23:10,49.0,88.0,00:00,33.0,17:30
2024-01-07,14.0,6.9,9.204166666666667,0.0,0.0,0.0,37,0,7.458333333333333,1008.1,1005.5,1006.7083333333334,29.5,16.3,22.691666666666663,-1.8,-7.9,-5.3,2024-01-07,0201D,"BARCELONA, PORT OLÍMPIC",BARCELONA,26.0,"10,9","0,0","7,3",05:00,"14,5",14:10,33.0,"4,7","12,5",02:00,37.0,55.0,02:50,24.0,Varias
2024-01-08,12.5,3.0,7.0125,0.0,0.0,0.0,34,0,2.6666666666666665,1013.9,1007.5,1010.0541666666668,25.9,1.0,12.233333333333334,-3.2,-9.1,-6.454166666666667,2024-01-08,0201D,"BARCELONA, PORT OLÍMPIC",BARCELONA,26.0,"8,8","0,0","4,7",08:00,"12,8",13:50,36.0,"2,2","10,8",00:20,42.0,64.0,Varias,30.0,00:00
2024-01-09,10.9,-1.4,4.708333333333333,0.2,0.0,0.0166666666666666,100,1,53.625,1016.9,1014.4,1015.3791666666666,10.1,1.8,7.995833333333334,5.6,-6.1,-0.7583333333333333,2024-01-09,0201D,"BARCELONA, PORT OLÍMPIC",BARCELONA,26.0,"7,5","0,0","3,9",06:50,"11,1",12:40,8.0,"4,2","6,4",12:50,79.0,89.0,Varias,59.0,Varias
2024-01-10,10.1,5.0,7.841666666666666,1.4,0.0,0.2541666666666666,100,1,90.91666666666669,1016.0,1011.7,1013.7041666666668,8.2,3.2,6.05,8.3,4.0,6.116666666666667,2024-01-10,0201D,"BARCELONA, PORT OLÍMPIC",BARCELONA,26.0,"8,5","4,6","6,9",23:59,"10,1",13:50,1.0,"2,2","5,3",02:40,87.0,95.0,18:00,78.0,06:30
