fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin
2024-01-01,0201D,"BARCELONA, PORT OLÍMPIC",BARCELONA,26,"11,6","0,0","8,6",06:00,"14,6",13:40,36,"1,9","4,2",06:20,82,90,16:50,69,12:30
2024-01-02,0201D,"BARCELONA, PORT OLÍMPIC",BARCELONA,26,"11,8","0,0","8,1",01:50,"15,4",12:20,26,"2,8","7,5",11:20,53,81,00:30,39,16:10
2024-01-03,0201D,"BARCELONA, PORT OLÍMPIC",BARCELONA,26,"16,0","0,0","13,6",00:30,"18,4",12:30,27,"1,4","9,7",11:50,74,86,19:50,62,00:00
2024-01-04,0201D,"BARCELONA, PORT OLÍMPIC",BARCELONA,26,"14,2","0,3","11,0",07:00,"17,4",13:30,26,"1,4","4,7",19:00,89,94,18:10,79,00:00
2024-01-05,0201D,"BARCELONA, PORT OLÍMPIC",BARCELONA,26,"11,2","8,4","8,9",21:50,"13,5",13:50,30,"2,2","6,9",23:30,89,94,Varias,78,13:30
2024-01-06,0201D,"BARCELONA, PORT OLÍMPIC",BARCELONA,26,"11,2","0,0","7,3",07:30,"15,2",13:50,34,"2,5","11,1",23:10,49,88,00:00,33,17:30
2024-01-07,0201D,"BARCELONA, PORT OLÍMPIC",BARCELONA,26,"10,9","0,0","7,3",05:00,"14,5",14:10,33,"4,7","12,5",02:00,37,55,02:50,24,Varias
2024-01-08,0201D,"BARCELONA, PORT OLÍMPIC",BARCELONA,26,"8,8","0,0","4,7",08:00,"12,8",13:50,36,"2,2","10,8",00:20,42,64,Varias,30,00:00
2024-01-09,0201D,"BARCELONA, PORT OLÍMPIC",BARCELONA,26,"7,5","0,0","3,9",06:50,"11,1",12:40,08,"4,2","6,4",12:50,79,89,Varias,59,Varias
2024-01-10,0201D,"BARCELONA, PORT OLÍMPIC",BARCELONA,26,"8,5","4,6","6,9",23:59,"10,1",13:50,01,"2,2","5,3",02:40,87,95,18:00,78,06:30
2024-01-11,0201D,"BARCELONA, PORT OLÍMPIC",BARCELONA,26,"9,8","0,2","6,3",01:30,"13,3",13:20,99,"1,7","6,7",Varias,76,95,01:40,59,13:10
2024-01-12,0201D,"BARCELONA, PORT OLÍMPIC",BARCELONA,26,"9,8","0,0","6,2",07:50,"13,5",13:50,99,"1,9","6,9",Varias,66,83,07:30,51,13:20
2024-01-13,0201D,"BARCELONA, PORT OLÍMPIC",BARCELONA,26,"8,6","0,0","4,2",07:20,"12,9",13:30,28,"2,2","6,4",01:40,70,86,07:20,56,12:50
2024-01-14,0201D,"BARCELONA, PORT OLÍMPIC",BARCELONA,26,"13,7","0,0","10,1",01:00,"17,3",12:10,28,"3,9","9,4",06:20,55,74,23:59,47,12:00
2024-01-15,0201D,"BARCELONA, PORT OLÍMPIC",BARCELONA,26,"13,6","0,0","9,9",07:20,"17,3",16:40,30,"2,2","10,3",09:40,76,93,Varias,69,13:10
2024-01-16,0201D,"BARCELONA, PORT OLÍMPIC",BARCELONA,26,"14,6","0,0","12,0",04:50,"17,3",11:20,21,"1,9","6,1",11:40,91,94,Varias,77,11:10
2024-01-17,0201D,"BARCELONA, PORT OLÍMPIC",BARCELONA,26,"15,4","0,0","12,5",07:20,"18,4",15:00,26,"3,1","15,0",14:20,76,94,00:00,53,17:50
2024-01-18,0201D,"BARCELONA, PORT OLÍMPIC",BARCELONA,26,"17,5","0,2","14,1",20:20,"20,9",14:40,26,"3,6","16,7",14:50,60,91,20:20,43,Varias
2024-01-19,0201D,"BARCELONA, PORT OLÍMPIC",BARCELONA,26,"11,8","6,5","6,8",20:50,"16,7",00:30,09,"5,8","14,7",23:00,90,94,Varias,43,23:59
2024-01-20,0201D,"BARCELONA, PORT OLÍMPIC",BARCELONA,26,"9,4","0,1","5,7",07:40,"13,0",14:50,09,"3,3","11,4",00:10,72,92,03:30,41,00:10
2024-01-21,0201D,"BARCELONA, PORT OLÍMPIC",BARCELONA,26,"10,5","0,0","6,3",06:50,"14,7",14:40,99,"2,5","6,1",Varias,81,88,06:50,59,15:10
2024-01-22,0201D,"BARCELONA, PORT OLÍMPIC",BARCELONA,26,"11,8","0,0","7,9",07:00,"15,7",14:00,29,"2,5","7,8",15:20,66,86,Varias,54,11:40
2024-01-23,0201D,"BARCELONA, PORT OLÍMPIC",BARCELONA,26,"12,3","0,0","8,5",05:00,"16,1",12:30,33,"1,7","5,8",05:20,86,93,Varias,73,00:00
2024-01-24,0201D,"BARCELONA, PORT OLÍMPIC",BARCELONA,26,"13,2","0,0","9,4",07:20,"17,0",14:20,02,"0,8","5,0",08:40,88,94,Varias,72,10:00
